1,48,48,0,0,1,1,1,asdfgh,asdfgh
2,48,48,1,0,1,1,2,asdfgh,asdfgh
3,48,48,4,0,1,1,3,asdfgh,asdfgh
4,48,48,0,0,1,1,4,asdfgh,asdfgh
5,65,65,2,0,1,1,5,asdfgh,asdfgh
6,23,23,3,0,1,1,6,asdfgh,asdfgh
7,65,65,1,0,1,1,7,asdfgh,asdfgh
8,65,65,0,0,1,1,8,asdfgh,asdfgh
9,165,165,2,0,1,1,9,asdfgh,asdfgh
10,95,95,1,0,1,1,10,asdfgh,asdfgh
11,5,5,0,0,1,1,11,asdfgh,asdfgh
12,40,40,1,0,1,1,12,asdfgh,asdfgh
13,65,65,1,0,1,1,13,asdfgh,asdfgh
14,11,11,2,0,1,1,14,asdfgh,asdfgh
15,15,15,0,0,1,1,15,asdfgh,asdfgh
16,16,16,10,0,1,1,16,asdfgh,asdfgh
17,20,20,4,0,1,1,17,asdfgh,asdfgh
18,13,13,3,0,1,1,18,asdfgh,asdfgh
19,15,15,5,0,1,1,19,asdfgh,asdfgh
20,35,35,3,0,1,1,20,asdfgh,asdfgh
21,40,40,1,0,1,1,21,asdfgh,asdfgh
22,45,45,1,0,1,1,22,asdfgh,asdfgh
23,35,35,1,0,1,1,23,asdfgh,asdfgh
24,20,20,1,0,1,1,24,asdfgh,asdfgh
25,40,40,2,0,1,1,25,asdfgh,asdfgh
26,15,15,23,0,1,1,26,asdfgh,asdfgh
27,1,1,25,0,1,1,27,asdfgh,asdfgh
28,695,695,1,0,1,1,28,asdfgh,asdfgh
29,30,30,1,0,1,1,29,asdfgh,asdfgh
30,23,23,0,0,1,1,30,asdfgh,asdfgh
31,23,23,7,0,1,1,31,asdfgh,asdfgh
32,23,23,1,0,1,1,32,asdfgh,asdfgh
33,20,20,0,0,1,1,33,asdfgh,asdfgh
34,22,22,0,0,1,1,34,asdfgh,asdfgh
35,20,20,2,0,1,1,35,asdfgh,asdfgh
36,22,22,6,0,1,1,36,asdfgh,asdfgh
37,20,20,2,0,1,1,37,asdfgh,asdfgh
38,23,23,10,0,1,1,38,asdfgh,asdfgh
39,20,20,6,0,1,1,39,asdfgh,asdfgh
40,20,20,4,0,1,1,40,asdfgh,asdfgh
41,20,20,1,0,1,1,41,asdfgh,asdfgh
42,22,22,4,0,1,1,42,asdfgh,asdfgh
43,20,20,3,0,1,1,43,asdfgh,asdfgh
44,33,33,3,0,1,1,44,asdfgh,asdfgh
45,60,60,2,0,1,1,45,asdfgh,asdfgh
46,25,25,2,0,1,1,46,asdfgh,asdfgh
47,18,18,3,0,1,1,47,asdfgh,asdfgh
48,15,15,0,0,1,1,48,asdfgh,asdfgh
49,22,22,0,0,1,1,49,asdfgh,asdfgh
50,20,20,4,0,1,1,50,asdfgh,asdfgh
51,2.5,2.5,55,0,1,1,51,asdfgh,asdfgh
52,23,23,0,0,1,1,52,asdfgh,asdfgh
53,18,18,0,0,1,1,53,asdfgh,asdfgh
54,15,15,6,0,1,1,54,asdfgh,asdfgh
55,13,13,0,0,1,1,55,asdfgh,asdfgh
56,38,38,0,0,1,1,56,asdfgh,asdfgh
57,85,85,0,0,1,1,57,asdfgh,asdfgh
58,149,149,10,0,1,1,58,asdfgh,asdfgh
59,5,5,39,0,1,1,59,asdfgh,asdfgh
60,15,15,1,0,1,1,60,asdfgh,asdfgh
61,55,55,0,0,1,1,61,asdfgh,asdfgh
62,89,89,0,0,1,1,62,asdfgh,asdfgh
63,39,39,0,0,1,1,63,asdfgh,asdfgh
64,35,35,0,0,1,1,64,asdfgh,asdfgh
65,30,30,0,0,1,1,65,asdfgh,asdfgh
66,30,30,0,0,1,1,66,asdfgh,asdfgh
67,30,30,0,0,1,1,67,asdfgh,asdfgh
68,185,185,0,0,1,1,68,asdfgh,asdfgh
69,14,14,0,0,1,1,70,asdfgh,asdfgh
70,89,89,0,0,1,1,71,asdfgh,asdfgh
71,102,102,0,0,1,1,72,asdfgh,asdfgh
72,12,12,10,0,1,1,73,asdfgh,asdfgh
73,98,98,0,0,1,1,74,asdfgh,asdfgh
74,85,85,0,0,1,1,75,asdfgh,asdfgh
75,48,48,3,0,1,1,76,asdfgh,asdfgh
76,36,36,0,1,1,1,77,asdfgh,asdfgh
77,13,13,2,0,1,1,78,asdfgh,asdfgh
78,15,15,8,0,1,1,79,asdfgh,asdfgh
79,8,8,1,0,1,1,80,asdfgh,asdfgh
80,85,85,0,0,1,1,81,asdfgh,asdfgh
81,130,130,0,0,1,1,82,asdfgh,asdfgh
82,68,68,0,0,1,1,83,asdfgh,asdfgh
83,28,28,0,0,1,1,84,asdfgh,asdfgh
84,49,49,0,0,1,1,85,asdfgh,asdfgh
85,18,18,0,0,1,1,86,asdfgh,asdfgh
86,35,35,0,0,1,1,87,asdfgh,asdfgh
87,53,53,0,0,1,1,88,asdfgh,asdfgh
88,60,60,0,0,1,1,89,asdfgh,asdfgh
89,84,84,0,0,1,1,90,asdfgh,asdfgh
90,99,99,0,0,1,1,91,asdfgh,asdfgh
91,62,62,0,0,1,1,92,asdfgh,asdfgh
92,89,89,0,0,1,1,93,asdfgh,asdfgh
93,55,55,0,0,1,1,95,asdfgh,asdfgh
94,87,87,1,0,1,1,96,asdfgh,asdfgh
95,55,55,0,0,1,1,97,asdfgh,asdfgh
96,52,52,0,0,1,1,98,asdfgh,asdfgh
97,55,55,0,0,1,1,99,asdfgh,asdfgh
98,125,125,0,0,1,1,100,asdfgh,asdfgh
99,119,119,0,0,1,1,101,asdfgh,asdfgh
100,25,25,0,0,1,1,103,asdfgh,asdfgh
101,13,13,0,0,1,1,104,asdfgh,asdfgh
102,32,32,0,0,1,1,106,asdfgh,asdfgh
103,9,9,0,0,1,1,107,asdfgh,asdfgh
104,13,13,0,0,1,1,108,asdfgh,asdfgh
105,54,54,1,0,1,1,109,asdfgh,asdfgh
106,36,36,3,0,1,1,110,asdfgh,asdfgh
107,15,15,3,0,1,1,111,asdfgh,asdfgh
108,19,19,0,0,1,1,112,asdfgh,asdfgh
109,13,13,0,0,1,1,113,asdfgh,asdfgh
110,24,24,0,0,1,1,114,asdfgh,asdfgh
111,5,5,0,0,1,1,115,asdfgh,asdfgh
112,9,9,4,0,1,1,116,asdfgh,asdfgh
113,11,11,2,0,1,1,117,asdfgh,asdfgh
114,14,14,8,0,1,1,118,asdfgh,asdfgh
115,18,18,0,0,1,1,119,asdfgh,asdfgh
116,15,15,0,0,1,1,120,asdfgh,asdfgh
117,25,25,1,0,1,1,121,asdfgh,asdfgh
118,62,62,1,0,1,1,122,asdfgh,asdfgh
119,54,54,0,0,1,1,123,asdfgh,asdfgh
120,60,60,1,0,1,1,124,asdfgh,asdfgh
121,20,20,0,0,1,1,125,asdfgh,asdfgh
122,30,30,4,0,1,1,126,asdfgh,asdfgh
123,7,7,26,0,1,1,127,asdfgh,asdfgh
124,70,70,0,0,1,1,128,asdfgh,asdfgh
125,80,80,4,0,1,1,129,asdfgh,asdfgh
126,18,18,7,0,1,1,130,asdfgh,asdfgh
127,55,55,18,0,1,1,131,asdfgh,asdfgh
128,14,14,5,0,1,1,132,asdfgh,asdfgh
