costo,precio,existencia,minimoStock,idSucursal,idProducto,created_at,updated_at
46.00,46.00,4,0,1,187,,
23.00,23.00,0,0,1,188,,
43.00,43.00,0,0,1,189,,
44.00,44.00,4,0,1,190,,
25.00,25.00,0,0,1,191,,
20.00,20.00,0,0,1,192,,
44.00,44.00,1,0,1,193,,
42.00,42.00,0,0,1,194,,
32.00,32.00,1,0,1,195,,
29.00,29.00,0,0,1,196,,
14.00,14.00,0,0,1,197,,
18.00,18.00,0,0,1,198,,
15.00,15.00,0,0,1,199,,
42.00,42.00,0,0,1,200,,
20.00,20.00,0,0,1,201,,
42.00,42.00,0,0,1,202,,
25.00,25.00,2,0,1,203,,
